RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
102001,0,United States,Country,"",1532081.0,1370878.0,1377648.0,1404505.0,1542226.0,1638314.0,1709023.0,1762463.0,1791489.0,1782504.0,1728886.0,1729856.0,1611436.0,1437865.0,1465051.0,1465475.0,1576715.0,1663985.0,1741985.0,1791500.0,1797669.0,1773104.0,1734794.0,1707552.0,1553174.0,1387199.0,1397492.0,1403588.0,1463553.0,1359411.0,1466981.0,1460796.0,1433545.0,1378815.0,1326341.0,1314166.0,1147993.0,1001854.0,1032279.0,882590.0
394913,1,"New York, NY",Msa,NY,74716.0,65772.0,65538.0,73358.0,79303.0,86236.0,91349.0,92836.0,92493.0,89773.0,89075.0,90108.0,83014.0,73398.0,74376.0,76289.0,84272.0,91680.0,96644.0,98176.0,96459.0,92203.0,92985.0,90530.0,81817.0,72065.0,71448.0,74644.0,78782.0,64443.0,69327.0,77590.0,83025.0,81476.0,82402.0,80986.0,72067.0,62910.0,61025.0,57795.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,22385.0,18279.0,19814.0,21856.0,24147.0,25579.0,27762.0,28950.0,30706.0,30993.0,30583.0,31366.0,29423.0,25270.0,26475.0,26943.0,29175.0,30323.0,31979.0,31939.0,32389.0,31499.0,30326.0,29467.0,25383.0,20638.0,21146.0,22213.0,22285.0,20196.0,23492.0,25293.0,26359.0,26408.0,26436.0,26309.0,23213.0,19485.0,19604.0,19262.0
394463,3,"Chicago, IL",Msa,IL,47979.0,40571.0,40373.0,43022.0,51570.0,54068.0,56623.0,58613.0,59740.0,59524.0,58139.0,57499.0,51291.0,43662.0,43357.0,45904.0,52684.0,58313.0,60607.0,62187.0,62348.0,62043.0,61205.0,59233.0,52306.0,44843.0,44957.0,48246.0,50415.0,44732.0,49402.0,52057.0,52380.0,51375.0,49456.0,48574.0,41759.0,34916.0,34766.0,30314.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,26705.0,23300.0,22862.0,23468.0,26731.0,30075.0,31838.0,33976.0,35963.0,35349.0,34132.0,33382.0,31653.0,28236.0,28955.0,29618.0,32891.0,34834.0,36926.0,40114.0,41008.0,40071.0,38389.0,37604.0,34842.0,31182.0,30994.0,32141.0,33248.0,31379.0,35059.0,34970.0,34035.0,31519.0,28748.0,30014.0,26176.0,22415.0,22700.0,18905.0
394974,5,"Philadelphia, PA",Msa,PA,29563.0,24726.0,24097.0,25200.0,27711.0,30824.0,31981.0,31037.0,29882.0,29340.0,28687.0,29289.0,27494.0,23980.0,24041.0,23984.0,26852.0,29109.0,29764.0,30126.0,30692.0,28299.0,27921.0,27824.0,24805.0,21637.0,21358.0,21758.0,22107.0,18161.0,20958.0,22758.0,22365.0,21539.0,20830.0,20918.0,18383.0,15671.0,15937.0,14278.0
394692,6,"Houston, TX",Msa,TX,34683.0,31801.0,32394.0,32168.0,36648.0,38572.0,40640.0,41688.0,42495.0,41954.0,39471.0,39396.0,37299.0,34545.0,36375.0,36384.0,39283.0,41105.0,42662.0,45921.0,46605.0,45765.0,43378.0,42592.0,40138.0,37575.0,38714.0,39549.0,40821.0,39029.0,41593.0,40205.0,39007.0,36482.0,34330.0,34363.0,30394.0,27824.0,29310.0,24340.0
395209,7,"Washington, DC",Msa,DC,25204.0,21297.0,20027.0,21360.0,25988.0,30049.0,30144.0,26452.0,26265.0,25520.0,25245.0,25693.0,22813.0,18208.0,17190.0,17689.0,21481.0,24149.0,25940.0,25837.0,24952.0,23315.0,23694.0,23444.0,20099.0,16193.0,16490.0,17320.0,19826.0,18126.0,19417.0,19037.0,19326.0,18628.0,19018.0,19410.0,16520.0,13532.0,13872.0,12730.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,59852.0,59310.0,63813.0,64770.0,68603.0,67687.0,66147.0,63948.0,63431.0,62810.0,62282.0,64951.0,64779.0,63704.0,69327.0,70636.0,72291.0,70877.0,69473.0,67495.0,66184.0,64153.0,62748.0,64446.0,63068.0,61563.0,65135.0,65329.0,64476.0,58702.0,61313.0,62154.0,60441.0,58999.0,59072.0,59754.0,56429.0,54724.0,"",""
394347,9,"Atlanta, GA",Msa,GA,32131.0,28244.0,28893.0,28756.0,31554.0,33059.0,33623.0,36120.0,37547.0,36873.0,35500.0,36107.0,33572.0,30637.0,32224.0,35841.0,35738.0,37255.0,38788.0,40751.0,41401.0,41150.0,40515.0,40573.0,37252.0,34316.0,35560.0,35319.0,37306.0,36514.0,39176.0,37962.0,36467.0,34531.0,31932.0,32065.0,28140.0,24750.0,26815.0,22298.0
