RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
394849,41,"Memphis, TN",Msa,TN,53.0,29.0,29.0,20.0,25.0,25.0,28.0,30.0,39.0,28.0,37.0,33.0,35.0,26.0,27.0,9.0,10.0,9.0,14.0,16.0,17.0,15.0,19.0,22.0,20.0,11.0,8.0,8.0,8.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,"",""
394935,42,"Oklahoma City, OK",Msa,OK,72.0,40.0,7.0,30.0,20.0,18.0,21.0,25.0,29.0,37.0,33.0,45.0,40.0,39.0,24.0,17.0,15.0,15.0,17.0,20.0,25.0,25.0,25.0,37.0,30.0,17.0,13.0,15.0,11.0,10.0,9.0,10.0,9.0,8.0,11.0,12.0,8.0,7.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,34.0,12.0,10.0,11.0,9.0,15.0,14.0,14.0,17.0,19.0,24.0,35.0,32.0,23.0,13.0,12.0,13.0,13.0,14.0,16.0,15.0,18.0,21.0,33.0,32.0,15.0,7.0,11.0,10.0,6.0,6.0,5.0,5.0,5.0,8.0,10.0,"",""
394669,44,"Hartford, CT",Msa,CT,81.0,23.0,24.0,14.0,16.0,19.0,27.0,33.0,31.0,36.0,40.0,55.0,62.0,30.0,18.0,16.0,14.0,20.0,26.0,26.0,29.0,32.0,38.0,54.0,53.0,26.0,14.0,17.0,14.0,8.0,8.0,7.0,9.0,9.0,9.0,14.0,16.0,7.0
395022,45,"Richmond, VA",Msa,VA,39.0,10.0,8.0,8.0,12.0,14.0,21.0,19.0,22.0,21.0,29.0,27.0,24.0,14.0,11.0,8.0,8.0,11.0,13.0,15.0,16.0,20.0,26.0,43.0,22.0,11.0,6.0,7.0,9.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0
394910,46,"New Orleans, LA",Msa,LA,46.0,36.0,23.0,27.0,27.0,30.0,31.0,35.0,32.0,32.0,32.0,43.0,49.0,31.0,31.0,21.0,22.0,16.0,25.0,34.0,30.0,28.0,34.0,42.0,42.0,28.0,18.0,24.0,19.0,19.0,17.0,12.0,17.0,11.0,12.0,16.0,12.0,9.0
394425,47,"Buffalo, NY",Msa,NY,44.0,23.0,15.0,13.0,12.0,15.0,16.0,18.0,24.0,27.0,31.0,38.0,38.0,28.0,17.0,12.0,12.0,13.0,17.0,16.0,21.0,20.0,30.0,41.0,34.0,17.0,12.0,29.0,12.0,9.0,9.0,9.0,10.0,11.0,12.0,14.0,14.0,10.0
395012,48,"Raleigh, NC",Msa,NC,11.0,6.0,7.0,5.0,8.0,8.0,10.0,11.0,13.0,12.0,14.0,19.0,16.0,9.0,9.0,7.0,8.0,10.0,11.0,11.0,11.0,15.0,17.0,23.0,13.0,7.0,5.0,8.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
394388,49,"Birmingham, AL",Msa,AL,40.0,17.0,14.0,11.0,13.0,16.0,15.0,23.0,22.0,26.0,26.0,33.0,32.0,16.0,11.0,11.0,13.0,14.0,14.0,19.0,18.0,20.0,22.0,28.0,20.0,14.0,10.0,12.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,11.0,"",""
395053,50,"Salt Lake City, UT",Msa,UT,26.0,6.0,9.0,6.0,11.0,10.0,11.0,12.0,18.0,18.0,24.0,30.0,26.0,15.0,8.0,9.0,10.0,11.0,14.0,21.0,13.0,15.0,26.0,21.0,10.0,6.0,6.0,10.0,9.0,13.0,6.0,6.0,5.0,6.0,6.0,7.0,"",""
395031,51,"Rochester, NY",Msa,NY,53.0,20.0,17.0,14.0,14.0,16.0,20.0,24.0,25.0,27.0,32.0,45.0,41.0,21.0,14.0,12.0,12.0,13.0,16.0,18.0,18.0,26.0,27.0,39.0,29.0,16.0,11.0,18.0,10.0,8.0,9.0,8.0,10.0,10.0,11.0,13.0,"",""
394640,52,"Grand Rapids, MI",Msa,MI,20.0,8.0,7.0,6.0,6.0,6.0,8.0,10.0,16.0,14.0,14.0,19.0,12.0,17.0,9.0,7.0,6.0,7.0,9.0,11.0,13.0,14.0,18.0,28.0,35.0,12.0,6.0,14.0,6.0,"",5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0
395167,53,"Tucson, AZ",Msa,AZ,27.0,21.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,25.0,27.0,21.0,23.0,13.0,17.0,14.0,15.0,16.0,13.0,14.0,17.0,22.0,17.0,11.0,8.0,12.0,11.0,9.0,6.0,5.0,5.0,6.0,7.0,7.0,"",""
395169,55,"Tulsa, OK",Msa,OK,58.0,34.0,31.0,32.0,26.0,27.0,34.0,36.0,38.0,42.0,50.0,59.0,50.0,44.0,29.0,24.0,38.0,27.0,29.0,28.0,34.0,29.0,28.0,43.0,34.0,26.0,17.0,20.0,16.0,11.0,12.0,10.0,11.0,8.0,11.0,16.0,"",""
394619,56,"Fresno, CA",Msa,CA,13.0,13.0,17.0,12.0,10.0,13.0,16.0,12.0,19.0,16.0,25.0,33.0,25.0,23.0,20.0,12.0,19.0,23.0,18.0,15.0,19.0,21.0,32.0,29.0,28.0,14.0,10.0,26.0,19.0,16.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,7.0
395238,57,"Worcester, MA",Msa,MA,34.0,14.0,13.0,8.0,9.0,10.0,14.0,16.0,17.0,20.0,27.0,43.0,31.0,20.0,12.0,8.0,8.0,11.0,15.0,14.0,14.0,18.0,20.0,26.0,27.0,12.0,7.0,10.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,12.0,9.0,7.0
394415,58,"Stamford, CT",Msa,CT,89.0,33.0,23.0,17.0,27.0,31.0,41.0,43.0,38.0,41.0,52.0,56.0,52.0,36.0,25.0,24.0,24.0,32.0,39.0,49.0,42.0,46.0,56.0,84.0,63.0,26.0,22.0,39.0,30.0,18.0,16.0,16.0,17.0,20.0,18.0,24.0,27.0,12.0
394312,59,"Albuquerque, NM",Msa,NM,42.0,25.0,18.0,13.0,13.0,16.0,21.0,25.0,30.0,31.0,34.0,39.0,39.0,19.0,16.0,13.0,14.0,14.0,15.0,17.0,18.0,20.0,23.0,28.0,22.0,9.0,6.0,9.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0
394308,60,"Albany, NY",Msa,NY,69.0,30.0,25.0,19.0,19.0,21.0,27.0,27.0,32.0,34.0,40.0,59.0,56.0,47.0,21.0,18.0,14.0,18.0,21.0,21.0,31.0,34.0,41.0,62.0,58.0,29.0,14.0,25.0,13.0,"",9.0,10.0,9.0,12.0,17.0,20.0,"",""
394938,61,"Omaha, NE",Msa,NE,8.0,5.0,8.0,11.0,10.0,13.0,19.0,16.0,27.0,20.0,23.0,32.0,44.0,27.0,23.0,13.0,13.0,15.0,15.0,13.0,18.0,32.0,31.0,37.0,47.0,24.0,9.0,11.0,10.0,12.0,12.0,11.0,26.0,7.0,9.0,8.0,"",""
394908,62,"New Haven, CT",Msa,CT,82.0,42.0,23.0,16.0,21.0,19.0,27.0,29.0,32.0,39.0,42.0,49.0,59.0,28.0,20.0,15.0,17.0,21.0,26.0,28.0,30.0,30.0,36.0,48.0,40.0,23.0,13.0,22.0,14.0,8.0,8.0,6.0,8.0,8.0,10.0,13.0,16.0,6.0
394357,63,"Bakersfield, CA",Msa,CA,32.0,23.0,22.0,26.0,23.0,24.0,21.0,26.0,31.0,32.0,40.0,44.0,35.0,25.0,35.0,24.0,23.0,26.0,30.0,27.0,25.0,30.0,42.0,35.0,64.0,25.0,24.0,27.0,29.0,22.0,18.0,13.0,16.0,14.0,13.0,11.0,"",""
394753,64,"Knoxville, TN",Msa,TN,42.0,24.0,13.0,15.0,14.0,17.0,16.0,18.0,24.0,23.0,28.0,34.0,30.0,19.0,13.0,12.0,11.0,16.0,13.0,14.0,13.0,17.0,19.0,28.0,27.0,13.0,7.0,10.0,9.0,10.0,6.0,5.0,7.0,5.0,7.0,9.0,10.0,5.0
394653,65,"Greenville, SC",Msa,SC,20.0,14.0,11.0,10.0,11.0,13.0,14.0,17.0,18.0,22.0,29.0,36.0,25.0,18.0,12.0,13.0,13.0,15.0,18.0,18.0,22.0,26.0,23.0,37.0,28.0,19.0,12.0,13.0,14.0,13.0,10.0,9.0,9.0,8.0,12.0,12.0,"",""
394952,66,"Ventura, CA",Msa,CA,21.0,12.0,12.0,14.0,14.0,18.0,22.0,23.0,26.0,29.0,38.0,41.0,35.0,26.0,20.0,18.0,18.0,19.0,23.0,24.0,26.0,22.0,25.0,35.0,25.0,14.0,11.0,18.0,17.0,13.0,12.0,10.0,10.0,9.0,9.0,10.0,"",""
394318,67,"Allentown, PA",Msa,PA,59.0,56.0,34.0,43.0,27.0,44.0,54.0,29.0,44.0,48.0,58.0,56.0,56.0,61.0,47.0,43.0,38.0,33.0,40.0,51.0,43.0,63.0,39.0,64.0,75.0,51.0,29.0,57.0,41.0,29.0,23.0,22.0,27.0,13.0,13.0,18.0,38.0,9.0
394561,68,"El Paso, TX",Msa,TX,57.0,49.0,40.0,51.0,42.0,41.0,41.0,41.0,43.0,47.0,48.0,48.0,"","","","","","","","",90.0,80.0,"","","","","",90.0,90.0,"",46.0,"",36.0,50.0,8.0,9.0,12.0,20.0
394367,69,"Baton Rouge, LA",Msa,LA,38.0,23.0,24.0,51.0,41.0,50.0,29.0,33.0,34.0,50.0,37.0,82.0,35.0,3.0,39.0,61.0,50.0,47.0,63.0,56.0,59.0,53.0,53.0,65.0,72.0,48.0,33.0,35.0,42.0,31.0,27.0,26.0,24.0,21.0,17.0,23.0,29.0,23.0
394521,70,"Dayton, OH",Msa,OH,34.0,21.0,13.0,13.0,11.0,11.0,16.0,17.0,20.0,21.0,30.0,40.0,38.0,28.0,16.0,6.0,6.0,10.0,10.0,11.0,11.0,14.0,16.0,30.0,18.0,8.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,5.0,3.0
394843,71,"McAllen, TX",Msa,TX,37.0,63.0,57.0,43.0,53.0,63.0,60.0,46.0,36.0,52.0,47.0,73.0,107.0,56.0,54.0,70.0,71.0,78.0,89.0,90.0,55.0,90.0,59.0,91.0,78.0,66.0,46.0,61.0,69.0,50.0,56.0,38.0,25.0,24.0,23.0,39.0,38.0,31.0
394486,72,"Columbia, SC",Msa,SC,55.0,39.0,26.0,38.0,29.0,24.0,21.0,37.0,49.0,40.0,41.0,31.0,33.0,26.0,22.0,24.0,36.0,26.0,26.0,41.0,39.0,53.0,51.0,54.0,55.0,25.0,43.0,46.0,25.0,19.0,21.0,22.0,23.0,9.0,23.0,17.0,19.0,11.0
394648,73,"Greensboro, NC",Msa,NC,53.0,54.0,41.0,35.0,33.0,35.0,29.0,18.0,22.0,16.0,21.0,31.0,32.0,15.0,11.0,10.0,9.0,9.0,10.0,12.0,13.0,13.0,13.0,25.0,19.0,10.0,7.0,12.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,4.0
