"","date","Division","Division_num","POP_ESTIMATE_2019_log","Median_Household_Income_2019_log","median_listing_price_log","total_listing_count_log","deaths_per_1000_log","county_land_area_log","median_listing_price_clas"
"3431",2020-01-31,"East North Central",1,12.5516886643521,10.9938996446389,11.762905670238,7.32712329225929,0,6.25253951925675,2
"3432",2020-02-29,"East North Central",1,12.5516886643521,10.9938996446389,11.7752897294377,7.31654817718298,0,6.25253951925675,3
"3433",2020-03-31,"East North Central",1,12.5516886643521,10.9938996446389,11.8122890421958,7.38087903556412,0,6.25253951925675,3
"3434",2020-04-30,"East North Central",1,12.5516886643521,10.9938996446389,11.8486831606536,7.3185395485679,-3.24603811257162,6.25253951925675,3
"3435",2020-05-31,"East North Central",1,12.5516886643521,10.9938996446389,11.9167225159777,7.32580750259577,-1.63660020013752,6.25253951925675,3
"3436",2020-06-30,"East North Central",1,12.5516886643521,10.9938996446389,11.950535026405,7.37086016653672,-1.10063860309999,6.25253951925675,3
"3437",2020-07-31,"East North Central",1,12.5516886643521,10.9938996446389,11.9668632265292,7.37713371283395,-0.839912340636735,6.25253951925675,3
"3438",2020-08-31,"East North Central",1,12.5516886643521,10.9938996446389,11.9316357998284,7.32974968904151,-0.660326763661655,6.25253951925675,3
"3439",2020-09-30,"East North Central",1,12.5516886643521,10.9938996446389,11.9345919524164,7.27586460054653,-0.626653548555067,6.25253951925675,3
"3440",2020-10-31,"East North Central",1,12.5516886643521,10.9938996446389,11.8844200535072,7.26892012819372,-0.412824768515404,6.25253951925675,3
"3441",2020-11-30,"East North Central",1,12.5516886643521,10.9938996446389,11.8130226499857,7.25063551189868,-0.175873244234859,6.25253951925675,3
"3442",2020-12-31,"East North Central",1,12.5516886643521,10.9938996446389,11.740061037554,7.09589322109753,0.196708272003406,6.25253951925675,2
"3443",2021-01-31,"East North Central",1,12.5516886643521,10.9938996446389,11.7109563154694,6.93049476595163,0.350028041936577,6.25253951925675,2
"3444",2021-02-28,"East North Central",1,12.5516886643521,10.9938996446389,11.6952470217642,6.85118492749374,0.440566027705181,6.25253951925675,2
"3445",2020-01-31,"East North Central",1,12.846080091238,10.9479603951036,12.242645625761,6.45676965557216,0,6.49245193373807,3
"3446",2020-02-29,"East North Central",1,12.846080091238,10.9479603951036,12.3863086958331,6.29710931993394,0,6.49245193373807,3
"3447",2020-03-31,"East North Central",1,12.846080091238,10.9479603951036,12.4478416609675,6.2709884318583,-5.93832481225584,6.49245193373807,3
"3448",2020-04-30,"East North Central",1,12.846080091238,10.9479603951036,12.4121351427059,6.32076829425058,-2.02630180682769,6.49245193373807,3
"3449",2020-05-31,"East North Central",1,12.846080091238,10.9479603951036,12.4126802282043,6.30078579466324,-1.70421830765858,6.49245193373807,3
"3450",2020-06-30,"East North Central",1,12.846080091238,10.9479603951036,12.3928716635176,6.18826412308259,-1.23784444646342,6.49245193373807,3
"3451",2020-07-31,"East North Central",1,12.846080091238,10.9479603951036,12.3879774488278,6.16751649088834,-0.875729779228871,6.49245193373807,3
"3452",2020-08-31,"East North Central",1,12.846080091238,10.9479603951036,12.379605696291,6.21660610108486,-0.750939006415085,6.49245193373807,3
"3453",2020-09-30,"East North Central",1,12.846080091238,10.9479603951036,12.3189548025868,6.21060007702465,-0.600786732554521,6.49245193373807,3
"3454",2020-10-31,"East North Central",1,12.846080091238,10.9479603951036,12.3009281765429,6.16120732169508,-0.453527878765183,6.49245193373807,3
"3455",2020-11-30,"East North Central",1,12.846080091238,10.9479603951036,12.3236334342693,6.07764224334903,-0.188931826347585,6.49245193373807,3
"3456",2020-12-31,"East North Central",1,12.846080091238,10.9479603951036,12.3274935007345,5.90536184805457,0.28623361701952,6.49245193373807,3
"3457",2021-01-31,"East North Central",1,12.846080091238,10.9479603951036,12.3540615232436,5.73009978297357,0.46027012227937,6.49245193373807,3
"3458",2021-02-28,"East North Central",1,12.846080091238,10.9479603951036,12.4040317133053,5.57215403217776,0.515300186636854,6.49245193373807,3
"3459",2020-01-31,"East North Central",1,11.3359376584069,11.1729812078556,12.4682445838119,5.39362754635236,0,6.01464382005539,3
"3460",2020-02-29,"East North Central",1,11.3359376584069,11.1729812078556,12.4292161968444,5.51342874616498,0,6.01464382005539,3
"3461",2020-03-31,"East North Central",1,11.3359376584069,11.1729812078556,12.4720840970716,5.54126354515843,0,6.01464382005539,3
"3462",2020-04-30,"East North Central",1,11.3359376584069,11.1729812078556,12.428816116823,5.52146091786225,-1.94327572963674,6.01464382005539,3
"3463",2020-05-31,"East North Central",1,11.3359376584069,11.1729812078556,12.428816116823,5.63835466933375,-0.790596219698351,6.01464382005539,3
"3464",2020-06-30,"East North Central",1,11.3359376584069,11.1729812078556,12.3983445331773,5.73979291217923,-0.556981368516846,6.01464382005539,3
"3465",2020-07-31,"East North Central",1,11.3359376584069,11.1729812078556,12.4151172724649,5.78996017089725,-0.476938660843309,6.01464382005539,3
"3466",2020-08-31,"East North Central",1,11.3359376584069,11.1729812078556,12.4248064883557,5.77765232322266,-0.317308515251426,6.01464382005539,3
"3467",2020-09-30,"East North Central",1,11.3359376584069,11.1729812078556,12.4854074764941,5.66988092298052,-0.22348976003377,6.01464382005539,3
"3468",2020-10-31,"East North Central",1,11.3359376584069,11.1729812078556,12.4684369099977,5.57215403217776,-0.194075874827477,6.01464382005539,3
"3469",2020-11-30,"East North Central",1,11.3359376584069,11.1729812078556,12.4871076752602,5.46383180502561,-0.0714735527351445,6.01464382005539,3
"3470",2020-12-31,"East North Central",1,11.3359376584069,11.1729812078556,12.49650094365,5.27811465923052,0.263165502804407,6.01464382005539,3
"3471",2021-01-31,"East North Central",1,11.3359376584069,11.1729812078556,12.5772913149097,5.09375020080676,0.454619543161631,6.01464382005539,3
"3472",2021-02-28,"East North Central",1,11.3359376584069,11.1729812078556,12.682927749725,4.98360662170834,0.562250207354,6.01464382005539,3
"3473",2020-01-31,"East North Central",1,11.1249514911861,11.3402017016479,12.9731241167879,5.77765232322266,0,6.04810477115523,3
"3474",2020-02-29,"East North Central",1,11.1249514911861,11.3402017016479,12.935792806321,5.77455154554441,0,6.04810477115523,3
"3475",2020-03-31,"East North Central",1,11.1249514911861,11.3402017016479,12.9772219917347,5.85793315448346,0,6.04810477115523,3
