"","date","Division","POP_ESTIMATE_2019_log","Median_Household_Income_2019_log","median_listing_price_log","total_listing_count_log","cases_per_1000_log","deaths_per_1000_log","county_land_area_log","median_listing_price_clas"
"2463",2021-01-31,"South Atlantic",11.9621777670463,11.3883254967369,12.6407728789067,6.60665018619822,4.50410692420042,-0.0639899012854618,5.72945022140478,3
"2511",2020-05-31,"South Atlantic",11.8937084604329,11.0495398880261,12.428816116823,7.12689080889881,1.31115613848318,-1.76707735658256,5.29966645611733,3
"10419",2020-03-31,"Pacific",11.4899945496795,10.9534696642362,12.5546692977565,5.82008293035236,-0.439104544305837,-4.58223927069737,7.93428779372153,3
"8718",2020-10-31,"East South Central",10.9058642333234,10.8263963367119,12.5772913149097,5.70711026474888,3.40128912899008,-0.820055123993329,5.75047520264818,3
"2986",2020-04-30,"Mountain",12.0179160982417,11.047136939679,12.9933929961074,6.75925527066369,-0.999286955086255,0,7.18217732457438,3
"1842",2020-08-31,"South Atlantic",13.7723472831183,10.9740261023766,12.4490188241406,8.61812390999468,3.31879743353277,-1.32725773711764,6.82250235500737,3
"9334",2020-10-31,"West South Central",11.3234221812,10.817696118206,12.3842188309136,6.65801104587075,2.7787699488825,-0.860318840728422,6.85550363078339,3
"3371",2020-11-30,"East North Central",11.7890636625517,11.1005263722591,11.7312574592872,6.4707995037826,3.96475680712328,-0.296340904899033,6.48911374175734,2
"4761",2020-01-31,"New England",11.7142486747713,10.9215764624713,12.2543865058087,6.12686918411419,0,0,6.85776639663707,3
"6746",2020-12-31,"East North Central",11.5361633614374,10.9728598214795,11.9479493753199,5.65599181081985,4.39656610254073,0.542075912582883,6.00861660592555,3
"9819",2020-05-31,"Mountain",12.7812270809462,11.3806504256604,13.0165583185074,7.00397413672268,0.268565603623253,-5.18032462140416,6.45137049089439,3
"2757",2021-01-31,"South Atlantic",11.6239658197592,10.9720185691658,12.4684369099977,6.74641212857337,4.31332712037442,0.383655887047113,5.63196418686573,3
"5107",2020-11-30,"New England",13.5785646914217,11.3296394432294,13.2698346567625,7.34858753092759,3.78756849502462,0.611951767165992,6.71984614068915,1
"9145",2020-03-31,"West South Central",13.6958336049782,11.4176252851159,12.8551373135199,8.45318786144033,-1.46020215720643,-5.40178396487612,6.86455545967592,3
"9209",2020-11-30,"West South Central",13.6068713088529,11.5264436807711,12.8177887592585,8.24328252304838,3.30715371730842,-0.890973539890293,6.78684109639754,3
"10205",2021-01-31,"South Atlantic",11.0079825043624,10.8528648373981,12.1542528968004,4.43081679884331,4.22628960485927,-0.271585828891162,6.88572437091131,3
"2888",2020-04-30,"Pacific",13.7897444443778,11.373042515274,13.325304221401,7.9561263512135,-0.893027748505837,-4.48409389259733,7.66245841224113,1
"6170",2020-10-31,"East South Central",10.8114839815855,10.6366003610391,12.4680522206296,5.46806014113513,3.73591358525469,0.121622988131821,6.13543501251801,3
"2567",2020-05-31,"South Atlantic",12.4059557582031,11.6380768431491,12.9692121979102,7.65207074611648,0.740124145818512,-2.93325112175946,5.51092561594686,3
"9642",2020-10-31,"West South Central",11.1084099058977,10.9560908061077,12.4874851049684,6.18208490671663,3.17209173948881,0.193794527756925,6.56118624078144,3
"9982",2021-02-28,"South Atlantic",11.6021261104285,11.3659556078789,13.2877083099912,6.39359075395063,3.79029916826428,-0.600026269224292,6.58788053870816,1
"2980",2020-12-31,"Mountain",12.3451778505614,10.9796838019199,12.8687348450774,6.94505106372583,4.49547814152518,-0.0483508417627959,6.40277918000504,3
"1614",2020-04-30,"New England",13.6585724969971,11.1517690657229,12.524344541936,7.97831096986772,2.17662959824122,-0.512492592975472,6.75932487380978,3
"555",2020-09-30,"Mountain",12.2727354712342,10.7584133886587,12.3349055173731,6.24222326545517,4.08673649929935,0.478564224779263,8.61600994327703,3
"4469",2020-03-31,"West South Central",11.0356152072087,10.7083549827065,11.8981878657609,5.08759633523238,-0.464298282096937,-4.12785992822658,6.48867287491479,3
"9359",2020-07-31,"West South Central",11.0291149579447,11.2190106760988,12.5757378495072,6.27476202124194,1.93072948996183,-2.17544952990727,6.07952121092826,3
"10784",2020-04-30,"East North Central",11.3476851889067,11.1718144860005,12.6196712535351,5.71042701737487,-0.633267420154248,0,6.36784407432105,3
"10730",2020-06-30,"East North Central",10.6724376965116,10.9268553259942,12.3011555267769,5.58724865840025,-0.545806592661237,0,7.29981763682299,3
"7789",2020-05-31,"Pacific",11.1307568734125,10.8786130701312,12.5245263766487,6.01859321449623,-0.438811960512101,0,8.72195930736561,3
"9991",2020-09-30,"South Atlantic",12.3751485311296,11.6867611181139,13.368441900001,6.38012253689976,2.82540560605295,-0.456757958051172,3.25694202567466,1
"9097",2020-11-30,"West South Central",13.849651081084,11.4808876926197,12.9214704350249,8.18088094199639,3.28772500926029,-1.40850631337435,6.78661536531003,3
"1047",2020-11-30,"Pacific",12.8950335759594,11.4895340055129,13.4104703595692,7.4205789054108,2.81087442112995,-1.73878305492788,7.31338037429167,1
"7067",2020-11-30,"East North Central",10.9931095493661,10.7457656923231,11.7745202026587,5.32300997913841,3.57192852259422,-0.324154154690405,6.12533963066401,3
"3004",2020-08-31,"Mountain",11.372260114645,10.9356216623686,12.6760762747759,6.08221891037645,2.96501600712363,-0.938144311046667,7.56453407463019,3
"3207",2020-01-31,"East North Central",12.6371210263837,11.4006410342396,12.501536858424,7.5109777520141,0,0,6.41539151480383,3
"7989",2020-09-30,"Middle Atlantic",12.9507775855037,11.1186673235601,12.4391665276976,6.25958146406492,2.83686766115189,-0.0641365416204522,6.76351532526339,3
