RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
394475,29,"Cleveland, OH",Msa,OH,164400.0,159900.0,159900.0,164900.0,169900.0,179000.0,179900.0,185900.0,185000.0,179999.0,179900.0,179900.0,175000.0,174900.0,174900.0,179900.0,185000.0,193000.0,199500.0,199900.0,199000.0,189900.0,189900.0,185990.0,179900.0,179900.0,179900.0,180000.0,195000.0,199000.0,209900.0,219900.0,225000.0,219000.0,200000.0,199900.0,189900.0,185000.0,191450.0,209000.0
394735,30,"Kansas City, MO",Msa,MO,254950.0,250000.0,260000.0,269900.0,279000.0,275000.0,277500.0,275000.0,270590.0,269900.0,275000.0,295000.0,289900.0,294500.0,302950.0,320000.0,334950.0,339000.0,339900.0,330000.0,320000.0,309900.0,307777.0,305000.0,300000.0,300000.0,319500.0,333500.0,349245.0,349245.0,360000.0,369950.0,364950.0,350000.0,345000.0,339900.0,339000.0,339500.0,344000.0,369000.0
394775,31,"Las Vegas, NV",Msa,NV,289900.0,294900.0,294900.0,295000.0,299500.0,326000.0,349900.0,350000.0,349890.0,345000.0,331051.0,324999.0,319999.0,319950.0,315000.0,310000.0,314000.0,318999.0,322900.0,325000.0,325000.0,324000.0,319995.0,319900.0,319900.0,320000.0,323995.0,334000.0,345000.0,329000.0,325900.0,335000.0,344900.0,345990.0,345000.0,349000.0,347555.0,345000.0,345000.0,345000.0
394492,32,"Columbus, OH",Msa,OH,249900.0,249900.0,262900.0,292500.0,299900.0,314900.0,320000.0,315000.0,309900.0,295000.0,279900.0,274900.0,269500.0,260000.0,264900.0,285000.0,314199.0,324900.0,325000.0,326900.0,325000.0,307000.0,294900.0,280000.0,279900.0,277700.0,289900.0,307950.0,319800.0,319900.0,339500.0,349900.0,345000.0,329900.0,315000.0,315000.0,314990.0,310000.0,307008.0,324900.0
394705,33,"Indianapolis, IN",Msa,IN,211900.0,209000.0,212000.0,224900.0,244000.0,284900.0,285000.0,279900.0,270000.0,256900.0,249900.0,239900.0,229900.0,229000.0,230000.0,244900.0,269900.0,285000.0,289900.0,284900.0,279900.0,274000.0,270000.0,264900.0,258870.0,250000.0,259900.0,273092.0,285000.0,289900.0,299900.0,316900.0,316700.0,314900.0,298990.0,285000.0,277000.0,274000.0,277215.0,285900.0
395059,34,"San Jose, CA",Msa,CA,1075000.0,1050000.0,1088000.0,1168000.0,1200000.0,1250000.0,1280000.0,1249500.0,1199000.0,1149888.0,1100000.0,1098800.0,1049888.0,998000.0,998888.0,1098800.0,1100000.0,1138888.0,1178000.0,1150000.0,1100000.0,1099000.0,1099000.0,1099000.0,1088888.0,1019999.0,1098000.0,1188800.0,1199777.0,1150000.0,1198000.0,1250000.0,1259000.0,1249985.0,1248000.0,1210775.0,1248000.0,1195000.0,1198000.0,1230000.0
394355,35,"Austin, TX",Msa,TX,373332.0,369751.0,369664.0,379355.0,383082.0,384071.0,383207.0,383207.0,374563.0,364959.0,363998.0,360157.0,355259.0,350553.0,351567.0,360157.0,371682.0,379365.0,378885.0,364954.0,354185.0,351513.0,345746.0,342869.0,345270.0,336146.0,343830.0,356751.0,367840.0,366880.0,383197.0,398573.0,403689.0,417266.0,421623.0,423350.0,430167.0,426417.0,427990.0,450000.0
395194,36,"Virginia Beach, VA",Msa,VA,261688.0,258769.0,258764.0,261493.0,267427.0,272291.0,277155.0,278128.0,279101.0,277253.0,277155.0,272291.0,271416.0,271416.0,274334.0,281144.0,286981.0,291748.0,291748.0,291748.0,291748.0,291748.0,290872.0,290872.0,291748.0,291748.0,291748.0,291844.0,301476.0,306340.0,311301.0,318986.0,320932.0,320932.0,316165.0,318000.0,309900.0,299900.0,299900.0,299900.0
394902,37,"Nashville, TN",Msa,TN,374900.0,374900.0,374000.0,379000.0,379900.0,379999.0,379000.0,374900.0,369000.0,359900.0,360000.0,359900.0,354900.0,354900.0,355000.0,354900.0,359900.0,364990.0,368500.0,369900.0,362400.0,359900.0,359344.0,359000.0,352000.0,350000.0,349999.0,354900.0,359900.0,359900.0,369000.0,375000.0,379900.0,379900.0,384900.0,382925.0,379000.0,379900.0,384990.0,399900.0
395005,38,"Providence, RI",Msa,RI,346013.0,345069.0,346013.0,351258.0,361846.0,366990.0,367095.0,366990.0,367095.0,367095.0,366990.0,361746.0,355558.0,351363.0,356502.0,365522.0,376535.0,382828.0,387967.0,387967.0,387967.0,387967.0,387023.0,382723.0,377479.0,366990.0,367095.0,387023.0,398456.0,398456.0,408944.0,419432.0,429921.0,419537.0,408944.0,398456.0,393211.0,397512.0,399000.0,424900.0
394862,39,"Milwaukee, WI",Msa,WI,209900.0,199900.0,199900.0,215000.0,227900.0,232940.0,239900.0,249000.0,239900.0,239000.0,233900.0,225000.0,220000.0,216000.0,220000.0,225000.0,235000.0,234500.0,234900.0,237900.0,239000.0,235000.0,229000.0,224900.0,219900.0,209900.0,215900.0,228800.0,239900.0,245000.0,250000.0,259500.0,259900.0,249900.0,243900.0,239900.0,238900.0,235000.0,239900.0,259900.0
394714,40,"Jacksonville, FL",Msa,FL,297598.0,299900.0,304900.0,309900.0,315000.0,319000.0,316339.0,315000.0,309000.0,299999.0,299000.0,295000.0,294500.0,298500.0,295000.0,299000.0,305000.0,310000.0,320000.0,311990.0,300000.0,299900.0,298990.0,299500.0,299000.0,296990.0,299990.0,308990.0,310000.0,302990.0,315000.0,318089.0,319000.0,319000.0,315000.0,310400.0,304900.0,309500.0,310990.0,319900.0
394849,41,"Memphis, TN",Msa,TN,195528.0,185986.0,181214.0,181214.0,181310.0,189898.0,190757.0,204117.0,205166.0,207552.0,208983.0,209842.0,208029.0,200395.0,200395.0,202208.0,208983.0,214709.0,224252.0,224252.0,224252.0,223297.0,223157.0,224156.0,224252.0,224252.0,219385.0,224156.0,233699.0,233794.0,238566.0,249921.0,252879.0,252784.0,238566.0,245245.0,248099.0,238566.0,240000.0,235900.0
